"taxon_name","taxon_authors","family","LL","UL"
"Abies pindrow","(Royle ex D.Don) Royle","Pinaceae",2000,3500
"Betula utilis","D.Don","Betulaceae",2500,4500
"Cedrus deodara","(Roxb. ex D.Don) G.Don","Pinaceae",1500,2500
"Lyonia ovalifolia","(Wall.) Drude","Ericaceae",1500,3000
"Mallotus philippensis","(Lam.) Müll.Arg.","Euphorbiaceae",300,2000
"Picea smithiana","(Wall.) Boiss.","Pinaceae",2100,3500
"Pinus roxburghii","Sarg.","Pinaceae",1000,2300
"Pinus wallichiana","A.B.Jacks.","Pinaceae",1800,3000
"Quercus lanata","Sm.","Fagaceae",1500,3000
"Quercus floribunda","Lindl. ex A.Camus","Fagaceae",2000,3000
"Quercus leucotrichophora","A.Camus","Fagaceae",1500,2500
"Quercus semecarpifolia","Sm.","Fagaceae",2500,3500
"Rhododendron arboreum","Sm.","Ericaceae",1500,3000
"Shorea robusta","C.F.Gaertn.","Dipterocarpaceae",300,1500
"Taxus wallichiana","Zucc.","Taxaceae",2000,3500
