species,latitude,longitude
Cedrus deodara,30.97661,77.19857
Cedrus deodara,30.97667,77.19865
Cedrus deodara,30.97659,77.19867
Cedrus deodara,30.97648,77.19883
Cedrus deodara,30.97653,77.19881
Cedrus deodara,30.97651,77.19884
Cedrus deodara,30.9765,77.19896
Cedrus deodara,30.9765,77.199
Cedrus deodara,30.97647,77.19904
Cedrus deodara,30.97635,77.199
Cedrus deodara,30.97635,77.199
Cedrus deodara,30.97637,77.19893
Cedrus deodara,30.97637,77.19889
Cedrus deodara,30.97637,77.19889
Cedrus deodara,30.98312,77.20229
Cedrus deodara,30.9832,77.20231
Cedrus deodara,30.9832,77.20232
Cedrus deodara,30.98323,77.20235
Cedrus deodara,30.98332,77.20236
Cedrus deodara,30.98333,77.20233
Cedrus deodara,30.98343,77.20234
Cedrus deodara,30.98342,77.20239
Cedrus deodara,30.98341,77.2024
Cedrus deodara,30.98341,77.2024
Cedrus deodara,30.98343,77.20247
Cedrus deodara,30.98338,77.2025
Cedrus deodara,30.98334,77.20248
Cedrus deodara,30.9833,77.20249
Cedrus deodara,30.98327,77.2025
Cedrus deodara,30.98321,77.20243
Cedrus deodara,30.98318,77.20239
Quercus leucotrichophora,30.96104,77.19838
Quercus leucotrichophora,30.96108,77.19845
Quercus leucotrichophora,30.96109,77.19846
Quercus leucotrichophora,30.96111,77.19847
Quercus leucotrichophora,30.96117,77.19856
Quercus leucotrichophora,30.96113,77.19855
Quercus leucotrichophora,30.9611,77.19854
Quercus leucotrichophora,30.96109,77.19853
Quercus leucotrichophora,30.96108,77.19854
Quercus leucotrichophora,30.96108,77.19855
Quercus leucotrichophora,30.96109,77.19855
Quercus leucotrichophora,30.96109,77.19855
Quercus leucotrichophora,30.96108,77.1985
Quercus leucotrichophora,30.9611,77.19857
Quercus leucotrichophora,30.96111,77.19857
Quercus leucotrichophora,30.96112,77.1986
Quercus leucotrichophora,30.96112,77.19861
Quercus leucotrichophora,30.96112,77.19861
Quercus leucotrichophora,30.96113,77.19863
Quercus leucotrichophora,30.96113,77.19865
Quercus leucotrichophora,30.96113,77.19863
Quercus leucotrichophora,30.96112,77.19872
Quercus leucotrichophora,30.96112,77.19873
Quercus leucotrichophora,30.96109,77.19875
Quercus leucotrichophora,30.96109,77.19876
Quercus leucotrichophora,30.96109,77.19869
Quercus leucotrichophora,30.95195,77.20092
Quercus leucotrichophora,30.95192,77.20094
Quercus leucotrichophora,30.95191,77.20096
Quercus leucotrichophora,30.95191,77.20096
Quercus leucotrichophora,30.95185,77.20099
Quercus leucotrichophora,30.95185,77.20099
Quercus leucotrichophora,30.95182,77.20104
Quercus leucotrichophora,30.95181,77.20105
Quercus leucotrichophora,30.95178,77.20108
Quercus leucotrichophora,30.95176,77.20106
Quercus leucotrichophora,30.95176,77.20104
Quercus leucotrichophora,30.9518,77.20097
Quercus leucotrichophora,30.9518,77.20097
Quercus leucotrichophora,30.9518,77.20097
Quercus leucotrichophora,30.95178,77.20098
Quercus leucotrichophora,30.95178,77.20098
Quercus leucotrichophora,30.95177,77.20099
Rhododendron arboreum,30.95173,77.20105
Rhododendron arboreum,30.95169,77.20101
Rhododendron arboreum,30.95171,77.20099
Quercus leucotrichophora,30.95173,77.20098
Quercus leucotrichophora,30.95175,77.20098
Quercus leucotrichophora,30.9517,77.20098
Quercus leucotrichophora,30.95176,77.20097
Quercus leucotrichophora,30.95178,77.20097
Quercus leucotrichophora,30.95179,77.20097
Lyonia ovalifolia,30.95179,77.20097
Quercus leucotrichophora,30.95178,77.20093
Quercus leucotrichophora,30.95178,77.20093
Quercus leucotrichophora,30.95178,77.20092
Quercus leucotrichophora,30.95177,77.20091
Lyonia ovalifolia,30.95177,77.20091
Lyonia ovalifolia,30.95176,77.2009
Quercus leucotrichophora,30.95175,77.20088
Quercus leucotrichophora,30.95175,77.20089
Quercus leucotrichophora,30.95179,77.20085
Lyonia ovalifolia,30.95179,77.20087
Quercus leucotrichophora,30.95179,77.20087
Rhododendron arboreum,30.95178,77.20083
Quercus leucotrichophora,30.95178,77.20083
Quercus leucotrichophora,30.9518,77.20082
Quercus leucotrichophora,30.95182,77.20079
Quercus leucotrichophora,30.95182,77.20079
Pinus roxburghii,30.95407,77.19661
Quercus leucotrichophora,30.95404,77.1967
Pyrus pashia,30.95402,77.19669
Quercus leucotrichophora,30.954,77.19669
Quercus leucotrichophora,30.95402,77.19668
Rhododendron arboreum,30.95403,77.19662
Quercus leucotrichophora,30.95403,77.19661
Pyrus pashia,30.95402,77.1966
Quercus leucotrichophora,30.95402,77.19651
Pyrus pashia,30.954399,77.1965
Pyrus pashia,30.954399,77.1965
Quercus leucotrichophora,30.954396,77.19647
Pyrus pashia,30.95396,77.19647
Quercus leucotrichophora,30.95396,77.19644
Quercus leucotrichophora,30.95396,77.19644
Rhododendron arboreum,30.95396,77.19647
Pinus roxburghii,30.95394,77.19647
Quercus leucotrichophora,30.95397,77.19657
Quercus leucotrichophora,30.954,77.19657
Quercus leucotrichophora,30.95401,77.19674
Rhododendron arboreum,30.95395,77.19673
Quercus leucotrichophora,30.95395,77.19673
Quercus leucotrichophora,30.95397,77.19676
Quercus leucotrichophora,30.95391,77.19676
Quercus leucotrichophora,30.93496,77.20427
Quercus leucotrichophora,30.93639,77.20324
Quercus semecarpifolia,30.86466,77.47067
Quercus semecarpifolia,30.86246,77.4564
Abies pindrow,30.86246,77.4564
Quercus semecarpifolia,30.85116,77.4479
Abies pindrow,30.85116,77.4479
Quercus semecarpifolia,30.839,77.4391
Abies pindrow,30.839,77.4391
Quercus semecarpifolia,30.83092,77.4295
Abies pindrow,30.83092,77.4295
Quercus semecarpifolia,30.82598,77.42169
Quercus semecarpifolia,30.89442,77.48392
Abies pindrow,30.89435,77.48392
Cedrus deodara,30.82114,77.419043
Pinus roxburghii,30.897028,77.0018
Pinus roxburghii,30.761528,77.16461
Pinus roxburghii,30.67577,77.196028
Quercus leucotrichophora,30.861667,77.159722
Pinus roxburghii,30.861667,77.172222
